Rank,AS_Number,Organization,AS_Degree,Cone_ASes,Cone_Prefixes,Cone_IPs,Pct_ASes,Pct_Prefixes,Pct_IPs
1,3356,LPL-141-ARIN,6657,70218,979357,3518384719,90.7866156392222,91.018985271266,82.3537503224345
2,1299,ORG-TCA32-RIPE,2471,66993,945702,3108600730,86.61693214729,87.8911739120737,72.7620623714281
3,174,COGC-ARIN,6781,66295,931157,3008088474,85.7144704178734,86.5393980624391,70.4094028710989
4,3257,ORG-GCI2-RIPE,1846,59414,861831,2684386486,76.817852709971,80.0964133562331,62.8326098743954
5,3491,BNA-42-ARIN,754,58280,860194,2779896573,75.3516756309475,79.9442746786222,65.0681851415332
6,2914,NTTAM-1-ARIN,1545,55623,816003,2683610658,71.9163736036409,75.8372738830772,62.8144503067222
7,6939,HURC-ARIN,9443,55230,822392,2641847676,71.4082540339264,76.4310515319817,61.8369170160121
8,6453,TCA-51-ARIN,629,54890,831765,2630968079,70.968659495242,77.3021546628599,61.5822616310826
9,5511,ORG-FT2-RIPE,368,53763,772823,2635190533,69.5115328920149,71.8242328939249,61.6810953147859
10,6762,ORG-TIIO1-RIPE,678,52554,780819,2555784022,67.948386429458,72.5673610956215,59.8224515043022
11,6461,ZAYOB-ARIN,2702,51272,742845,2466355742,66.2908564335954,69.0381527000201,57.7292312253732
12,3320,ORG-DTA2-RIPE,697,48955,708778,2387698482,63.2951489449731,65.8720510933167,55.8881249028878
13,12956,ORG-TDC1-RIPE,256,48282,723988,2377665839,62.4250103434009,67.285630376434,55.6532939100648
14,1239,SPRN-Z-ARIN,4612,46948,682919,2218383011,60.7002482416218,63.4687804370293,51.9250096843729
15,4826,ORG-VPL1-AP-APNIC,1348,46888,693999,2316915278,60.6226727347952,64.4985278700957,54.2313241904021
